#NEGATIVE_LEXICON	STRENGTH-ASSIGNED
calamitous	-0.3
calamitously	-0.6
calamity	-0.8
callosity	-0.1
callosotomy	-0.1
callous	-0.2
callus	-0.1
calumniate	-0.5
calumniation	-0.3
calumnious	-0.4
calumniously	-0.5
calumny	-0.5
camouflage	-0.3
camouflaged	-0.1
campily	-0.5
cancel	-0.4
canceled	-0.6
cancellation	-0.4
cancelled	-0.5
cancelling	-0.3
cancels	-0.4
cancer	-0.7
cancerous	-1
candida	-0.8
candlepin	-0.2
cangue	-0.6
canker	-0.8
cankerous	-0.8
cankerworm	-0.1
canned	-0.2
canned-tasting	-0.2
cannibal	-1
cannibalic	-0.9
cannibalism	-1
cannibalistic	-1
cannibalize	-1
cannon	-0.3
cannonade	-0.3
cannonball	-0.4
canon	-0.4
cantankerous	-0.3
cantankerously	-0.3
capital	-0.1
capitulate	-0.3
capitulation	-0.3
capped	-0.1
capsize	-0.5
caption	-0.1
captious	-0.2
captiously	-0.2
captivation	-0.6
captive	-0.4
captivity	-0.5
captor	-0.4
capture	-0.3
carbine	-0.2
carbineer	-0.2
carcase	-0.8
carcass	-0.9
carcinoid	-0.9
carcinoma	-0.9
cardamine	-0.2
cardiomegaly	-0.8
cardiomyopathy	-0.3
careless	-0.3
carelessness	-0.3
caricaturist	-0.2
caries	-0.2
carjack	-0.5
carjacking	-0.5
carnage	-0.7
carnal	-0.5
carnivorous	-0.7
carrion	-0.8
carson	-0.2
cartel	-0.6
cartilaginification	-0.8
cartilaginous	-0.8
cartoonish	-0.1
caseous	-0.8
cashing in	-0.2
cash-strapped	-0.3
casket	-0.6
castaway	-0.6
caste	-0.3
castigate	-0.9
castigation	-0.6
castrated	-0.9
casualty	-0.8
casuistry	-0.2
cataclysm	-0.2
cataclysmal	-0.2
cataclysmically	-0.2
catapult	-0.2
catapultic	-0.2
cataract	-0.8
catastrophe	-1
catastrophic	-1
catastrophically	-1
catastrophies	-0.9
catatonia	-0.2
catatonic	-0.2
catatonically	-0.4
catch	-0.2
catchpenny	-0.2
catharsis	-0.4
cathartic	-0.4
catheter	-0.2
catheterize	-0.4
cattiness	-0.6
causeless	-0.3
caution	-0.7
cautionary	-0.3
cautious	-0.7
cautiously	-0.4
cave	-0.1
cavity	-0.1
cede	-0.3
celibate	-0.3
cellulite	-0.5
cemetery	-0.7
censored	-0.1
censoring	-0.4
censorious	-0.4
censors	-0.3
censorship	-0.4
censure	-0.4
cess	-0.1
cessation	-0.4
chafe	-0.2
chafed	-0.2
chafing	-0.3
chagrin	-0.3
chagrined	-0.5
challenge	-0.4
champerty	-0.4
chancre	-0.4
chancrous	-0.4
chaos	-0.6
chaotic	-0.6
chapfallen	-0.3
chapped	-0.2
characterless	-0.4
charade	-0.7
charcoal	-0.1
chardool	-0.4
charges	-0.1
charging	-0.2
charmless	-0.6
chase	-0.2
chasing	-0.4
chasten	-0.4
chastise	-0.2
chastised	-0.3
chastisement	-0.6
chastises	-0.4
chastising	-0.3
chatter	-0.1
chatterer	-0.1
chatty	-0.2
chauvinism	-0.2
chauvinist	-0.3
chauvinistic	-0.3
cheap	-0.5
cheapen	-0.2
cheapjack	-0.5
cheaply	-0.5
cheapness	-0.5
cheap-o	-0.7
cheat	-0.6
cheated	-1
cheater	-0.6
cheaters	-0.3
